id,name,bounty,crew,fruit,status,job,emperor,bounty_human_readable,bounty_category
22,Jeet,0,Armarda du Chapeau de Paille,Não tem,living,,Não,Não tem recompensa,Sem recompensa
23,Léo,0,Armarda du Chapeau de Paille,Fruit de la Couture,living,Captain,Não,Não tem recompensa,Sem recompensa
24,Kabu,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Scarab-Rhinoceros version",living,,Não,Não tem recompensa,Sem recompensa
25,Bee Anne,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Wasp version",living,,Não,Não tem recompensa,Sem recompensa
26,Hajrudin,0,Armarda du Chapeau de Paille,Não tem,living,Captain,Não,Não tem recompensa,Sem recompensa
27,Stansen,0,Armarda du Chapeau de Paille,Não tem,living,Carpenter,Não,Não tem recompensa,Sem recompensa
28,Road,0,Armarda du Chapeau de Paille,Não tem,living,Browser,Não,Não tem recompensa,Sem recompensa
29,Goldberg,0,Armarda du Chapeau de Paille,Não tem,living,Cook,Não,Não tem recompensa,Sem recompensa
30,Gerd,0,Armarda du Chapeau de Paille,Não tem,living,Doctor,Não,Não tem recompensa,Sem recompensa
31,Orlumbus,148000000,Armarda du Chapeau de Paille,Não tem,living,Admiral,Não,148 milhão(ões) de berries,Milhões
32,Baggy / Le Clown,150000000,Baggy's Delivery,Fruit of Fragmentation,living,Chairman,Não,150 milhão(ões) de berries,Milhões
33,Alvida,5000000,Baggy's Delivery,Fruit Glisse-Glisse,living,,Não,5 milhão(ões) de berries,Milhões
34,Galdino,24000000,Baggy's Delivery,Ciro-Fruit,living,,Não,24 milhão(ões) de berries,Milhões
35,Morge,0,Baggy's Delivery,Não tem,living,,Não,Não tem recompensa,Sem recompensa
36,Cabaji,0,Baggy's Delivery,Não tem,living,,Não,Não tem recompensa,Sem recompensa
37,Kuro,16000000,The Black Cat crew,Não tem,living,Captain,Não,16 milhão(ões) de berries,Milhões
38,Sham,7000000,The Black Cat crew,Não tem,living,Officer,Não,7 milhão(ões) de berries,Milhões
39,Buchi,7000000,The Black Cat crew,Não tem,living,Officer,Não,7 milhão(ões) de berries,Milhões
40,Krieg / Don Krieg,17000000,Don Krieg's Pirate Armada,Não tem,living,Captain,Não,17 milhão(ões) de berries,Milhões
41,Gyn,12000000,Don Krieg's Pirate Armada,Não tem,living,Vice-Admiral,Não,12 milhão(ões) de berries,Milhões
42,Pearl,0,Don Krieg's Pirate Armada,Não tem,living,Captain (2nd Battalion),Não,Não tem recompensa,Sem recompensa
43,Montblanc Cricket,25000000,Primate League,Não tem,living,Commander-in-Chief,Não,25 milhão(ões) de berries,Milhões
44,Masira,23000000,Primate League,Não tem,living,,Não,23 milhão(ões) de berries,Milhões
45,Shojo,36000000,Primate League,Não tem,living,,Não,36 milhão(ões) de berries,Milhões
46,Foxy,24000000,The Foxy crew,Ramollo fruit,living,Captain,Não,24 milhão(ões) de berries,Milhões
47,Porché,0,The Foxy crew,Não tem,living,Fighter,Não,Não tem recompensa,Sem recompensa
48,Hamburg,0,The Foxy crew,Não tem,living,Fighter,Não,Não tem recompensa,Sem recompensa
49,Gecko Moria,320000000,Thriller Bark,Fruit of the Shadow,living,Captain,Não,320 milhão(ões) de berries,Milhões
50,Hogback,0,Thriller Bark,Não tem,living,Mysterious Four,Não,Não tem recompensa,Sem recompensa
51,Absalom,0,Thriller Bark,Fruit of Invisibility,Morto,Mysterious Four,Não,Não tem recompensa,Sem recompensa
52,Perona,0,Thriller Bark,Fruit of Ectoplasm,living,Mysterious Four,Não,Não tem recompensa,Sem recompensa
53,Laura,24000000,The crew of the Rolling,Não tem,living,Captain,Não,24 milhão(ões) de berries,Milhões
54,Trafalgar D. Water Law,500000000,The Hearth crew,Fruit of the Scalpel,living,Captain,Não,500 milhão(ões) de berries,Milhões
55,Bepo,500,The Hearth crew,Não tem,living,Browser,Não,500 berries,Outros
56,Jean Bart,0,The Hearth crew,Não tem,living,,Não,Não tem recompensa,Sem recompensa
57,Shachi,0,The Hearth crew,Não tem,living,,Não,Não tem recompensa,Sem recompensa
58,Pingouin,0,The Hearth crew,Não tem,living,,Não,Não tem recompensa,Sem recompensa
59,Eustass Kidd,470000000,The Kid crew,Magnéto-Fruit,living,Captain,Não,470 milhão(ões) de berries,Milhões
60,Killer,200000000,The Kid crew,Não tem,living,Fighter,Não,200 milhão(ões) de berries,Milhões
61,Heat,0,The Kid crew,Não tem,living,Fighter,Não,Não tem recompensa,Sem recompensa
62,Wire,0,The Kid crew,Não tem,living,Captain,Não,Não tem recompensa,Sem recompensa
63,Capone Bege,350000000,The Fire Tank crew,Fruit du Château,living,Captain,Não,350 milhão(ões) de berries,Milhões
64,Vito,95000000,The Fire Tank crew,Não tem,living,Advisor,Não,95 milhão(ões) de berries,Milhões
65,Gotti,90000000,The Fire Tank crew,Não tem,living,Assassin,Não,90 milhão(ões) de berries,Milhões
66,Charlotte Chiffon,0,The Fire Tank crew,Não tem,living,,Não,Não tem recompensa,Sem recompensa
67,Charlotte Pets,0,The Fire Tank crew,Não tem,living,,Não,Não tem recompensa,Sem recompensa
68,Jewelry Bonney,140000000,The Fire Tank crew,Não tem,living,Captain,Não,140 milhão(ões) de berries,Milhões
69,Urouge,108000000,The crew of Les Moines Dépravés,Não tem,living,Captain,Não,108 milhão(ões) de berries,Milhões
70,Boa Hancock,80000000,The Kuja Pirates crew,Passion fruit,living,Captain,Não,80 milhão(ões) de berries,Milhões
71,Boa Sandersonia,40000000,The Kuja Pirates crew,"Fruit of the Reptile, Anaconda version",living,,Não,40 milhão(ões) de berries,Milhões
72,Boa Marigold,40000000,The Kuja Pirates crew,"Fruit of the Reptile, Cobra Royal version",living,,Não,40 milhão(ões) de berries,Milhões
73,Margaret,0,The Kuja Pirates crew,Não tem,living,,Não,Não tem recompensa,Sem recompensa
74,Shiki,0,The crew of the Lion d'Or,Floating Fruit,living,Admiral,Não,Não tem recompensa,Sem recompensa
75,Indigo,0,The crew of the Lion d'Or,Não tem,living,,Não,Não tem recompensa,Sem recompensa
76,Caribou,210000000,The Caribou crew,Fruit du Marais,living,Co-Captain,Não,210 milhão(ões) de berries,Milhões
77,Coribou,190000000,The Caribou crew,Não tem,living,Co-Captain,Não,190 milhão(ões) de berries,Milhões
78,Ficher Tiger,230000000,The Sun Pirates crew,Não tem,Morto,Captain,Não,230 milhão(ões) de berries,Milhões
79,Aladdin,0,The Sun Pirates crew,Não tem,living,Vice-Captain,Não,Não tem recompensa,Sem recompensa
80,Charlotte Praliné,0,The Sun Pirates crew,Não tem,living,,Não,Não tem recompensa,Sem recompensa
81,Dracule Mihawk,0,Sem tripulação,Não tem,living,,Não,Não tem recompensa,Sem recompensa
82,Crocodile,81000000,Sem tripulação,Não tem,living,,Não,81 milhão(ões) de berries,Milhões
83,Das Bones,75000000,Sem tripulação,Não tem,living,,Não,75 milhão(ões) de berries,Milhões
84,Edward Weeble,480000000,Sem tripulação,Não tem,living,,Não,480 milhão(ões) de berries,Milhões
85,Shanks,4048900000,Le Roux crew,Não tem,living,Captain,Sim,4 bilhão(ões) de berries,Bilhões
86,Ben Beckmann,0,Le Roux crew,Não tem,living,Vice-Captain,Sim,Não tem recompensa,Sem recompensa
87,Lucky Roo,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
88,Yassop,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
89,Limejuice,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
90,Bonk Punch,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
91,Monster,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
92,Building Snake,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
93,Hongo,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
94,Howling Dab,0,Le Roux crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
95,Rockstar,94000000,Le Roux crew,Não tem,living,,Sim,94 milhão(ões) de berries,Milhões
96,Charlotte Linlin / Big Mom,4388000000,Big Mom's crew,Fruit of Souls,living,Captain,Sim,4 bilhão(ões) de berries,Bilhões
97,Charlotte Dent-de-chien,1057000000,Big Mom's crew,Glutinous Rice Fruit,living,General Sucré,Sim,1 bilhão(ões) de berries,Bilhões
98,Charlotte Smoothie,932000000,Big Mom's crew,Horse Fruit,living,General Sucré,Sim,932 milhão(ões) de berries,Milhões
99,Charlotte Cracker,860000000,Big Mom's crew,Cookie Fruit,living,General Sucré,Sim,860 milhão(ões) de berries,Milhões
100,Charlotte Slurp,700000000,Big Mom's crew,Fruit de la Léchouille,living,Lieutenant,Sim,700 milhão(ões) de berries,Milhões
101,Charlotte Daifuku,300000000,Big Mom's crew,Fruit of the Lamp,living,Lieutenant,Sim,300 milhão(ões) de berries,Milhões
102,Charlotte Oven,300000000,Big Mom's crew,Fruit of Heat,living,Lieutenant,Sim,300 milhão(ões) de berries,Milhões
103,Charlotte Amande,0,Big Mom's crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
104,Charlotte Opéra,0,Big Mom's crew,Fruit de la Crème,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
105,Charlotte Brûlée,0,Big Mom's crew,Fruit of the Mirror,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
106,Charlotte Mont d’Or,120000000,Big Mom's crew,Fruit of the Book,living,Lieutenant,Sim,120 milhão(ões) de berries,Milhões
107,Charlotte Galette,0,Big Mom's crew,Butter Fruit,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
108,Charlotte Snack,600000000,Big Mom's crew,Não tem,living,Lieutenant,Sim,600 milhão(ões) de berries,Milhões
109,Charlotte Pudding,0,Big Mom's crew,Fruit of Memories,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
110,Charlotte Flampée,0,Big Mom's crew,Não tem,living,Lieutenant,Sim,Não tem recompensa,Sem recompensa
111,Charlotte Compote,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
112,Charlotte Mondé,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
113,Charlotte Hachée,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
114,Charlotte Effilée,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
115,Charlotte Counter,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
116,Charlotte Cadenza,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
117,Charlotte Cabaletta,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
118,Charlotte Gala,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
119,Charlotte Angel,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
120,Charlotte Crème,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
121,Charlotte Zuccoto,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
122,Charlotte Broyée,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
123,Charlotte Nusstorte,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
124,Charlotte Basskarte,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
125,Charlotte Dosmarché,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
126,Charlotte Noisette,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
127,Charlotte Moscato,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
128,Charlotte Mash,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
129,Charlotte Corn Starch,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
130,Charlotte Compo,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
131,Charlotte Laurin,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
132,Charlotte Mozart,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
133,Charlotte Marnier,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
134,Charlotte High-Fat,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
135,Charlotte Tablet,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
136,Charlotte Citron,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
137,Charlotte Cannelle,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
138,Charlotte Saint-Marc,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
139,Charlotte Basans,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
140,Charlotte Mélisée,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
141,Charlotte Dacquoise,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
142,Charlotte Poire,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
143,Charlotte Bavarois,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
144,Charlotte Prim,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
145,Charlotte Kanten,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
146,Charlotte Kato,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
147,Charlotte Montb,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
148,Charlotte Chiboust,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
149,Charlotte Mobile,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
150,Charlotte Marble,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
151,Charlotte Mucre,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
152,Charlotte Mapple,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
153,Charlotte Brownie,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
154,Charlotte Joconde,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
155,Charlotte Raisin,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
156,Charlotte Panna,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
157,Charlotte Mascarpone,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
158,Charlotte Joscarpone,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
159,Charlotte Yu Yuan,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
160,Charlotte Newichi,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
161,Charlotte Newji,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
162,Charlotte Newsan,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
163,Charlotte Newshi,0,Big Mom's crew,Fruit of the Mix,living,Officer,Sim,Não tem recompensa,Sem recompensa
164,Charlotte Newgo,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
165,Charlotte Muscade,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
166,Charlotte Muscadia,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
167,Charlotte Muscadelle,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
168,Charlotte Muscadine,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
169,Charlotte Muscadette,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
170,Charlotte Nougat,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
171,Charlotte Anglais,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
172,Charlotte Wafers,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
173,Charlotte Wiro,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
174,Charlotte De-Chat,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
175,Charlotte Normande,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
176,Charlotte Dolce,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
177,Charlotte Dragée,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
178,Charlotte Anana,0,Big Mom's crew,Não tem,living,Officer,Sim,Não tem recompensa,Sem recompensa
179,Pekoms,330000000,Big Mom's crew,Turtle Fruit,living,Fighter,Sim,330 milhão(ões) de berries,Milhões
180,Delœuf,429000000,Big Mom's crew,Fruit of the Egg,living,Fighter,Sim,429 milhão(ões) de berries,Milhões
181,Boddin,155000000,Big Mom's crew,Não tem,living,Fighter,Sim,155 milhão(ões) de berries,Milhões
182,Streusen,0,Big Mom's crew,Fruit of the Cook,living,Cook,Sim,Não tem recompensa,Sem recompensa
183,Prométhée,0,Big Mom's crew,Não tem,living,Homie,Sim,Não tem recompensa,Sem recompensa
184,Napoléon,0,Big Mom's crew,Não tem,living,Homie,Sim,Não tem recompensa,Sem recompensa
185,Héra,0,Big Mom's crew,Não tem,living,Homie,Sim,Não tem recompensa,Sem recompensa
186,Kingbaum,0,Big Mom's crew,Não tem,Morto,Homie,Sim,Não tem recompensa,Sem recompensa
187,Kaido,4611100000,The Hundred Beasts crew,"Fruit of the Fish, Azure Dragon version",living,Captain,Sim,5 bilhão(ões) de berries,Bilhões
188,King,1390000000,The Hundred Beasts crew,"Fruit of the Dinosaur, Pteranodon version",living,Superstar,Sim,1 bilhão(ões) de berries,Bilhões
189,Queen,1320000000,The Hundred Beasts crew,"Fruit of the Dinosaur, Brachiosaurus version",living,Superstar,Sim,1 bilhão(ões) de berries,Bilhões
190,Jack,1000000000,The Hundred Beasts crew,"Fruit of the Pachyderm, Mammoth version",living,Superstar,Sim,1 bilhão(ões) de berries,Bilhões
191,Page One,290000000,The Hundred Beasts crew,"Fruit of the Dinosaur, Spinosaurus version",living,Tobi Roppo,Sim,290 milhão(ões) de berries,Milhões
192,Ulti,400000000,The Hundred Beasts crew,"Fruit of the Dinosaur, Pachycephalosaurus version",living,Tobi Roppo,Sim,400 milhão(ões) de berries,Milhões
193,Who’s Who,546000000,The Hundred Beasts crew,"Fruit du Félin, saber-toothed tiger version",living,Tobi Roppo,Sim,546 milhão(ões) de berries,Milhões
194,Black Maria,480000000,The Hundred Beasts crew,"Spider fruit, Rosamygale grauvogeli version",living,Tobi Roppo,Sim,480 milhão(ões) de berries,Milhões
195,Sasaki,472000000,The Hundred Beasts crew,"Fruit of the Dinosaur, Triceratops version",living,Tobi Roppo,Sim,472 milhão(ões) de berries,Milhões
196,Sheep’s Head,0,The Hundred Beasts crew,Sheep SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
197,Basil Hawkins,320000000,The Hundred Beasts crew,Fruit de la Paille,living,Vedette,Sim,320 milhão(ões) de berries,Milhões
198,Holdem,0,The Hundred Beasts crew,Lion SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
199,Speed,0,The Hundred Beasts crew,Horse SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
200,Trouduc,0,The Hundred Beasts crew,SMILE of the scorpion,living,Vedette,Sim,Não tem recompensa,Sem recompensa
201,Pouilleux,0,The Hundred Beasts crew,SMILE of the elephant,living,Vedette,Sim,Não tem recompensa,Sem recompensa
202,Solitaire,0,The Hundred Beasts crew,Monkey SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
203,Bao Huang,0,The Hundred Beasts crew,Flying Squirrel SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
204,Ginrummy,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,Não tem recompensa,Sem recompensa
205,Plouf,0,The Hundred Beasts crew,Hippopotamus SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
206,Briscola,0,The Hundred Beasts crew,Gorilla SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
207,Fourtricks,0,The Hundred Beasts crew,SMILE du coq,living,Vedette,Sim,Não tem recompensa,Sem recompensa
208,Hamlet,0,The Hundred Beasts crew,Giraffe SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
209,Mizerka,0,The Hundred Beasts crew,Gorilla SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
210,Poker,0,The Hundred Beasts crew,Rattlesnake SMILE,living,Vedette,Sim,Não tem recompensa,Sem recompensa
211,Batman,0,The Hundred Beasts crew,Bat SMILE,living,Gifters,Sim,Não tem recompensa,Sem recompensa
212,Gazelleman,0,The Hundred Beasts crew,SMILE de gazelle,living,Gifters,Sim,Não tem recompensa,Sem recompensa
213,Mouseman,0,The Hundred Beasts crew,Mouse SMILE,living,Gifters,Sim,Não tem recompensa,Sem recompensa
214,Snakeman,0,The Hundred Beasts crew,SMILE of snake,living,Gifters,Sim,Não tem recompensa,Sem recompensa
215,Rabitman,0,The Hundred Beasts crew,Rabbit SMILE,living,Gifters,Sim,Não tem recompensa,Sem recompensa
216,Sarehebi,0,The Hundred Beasts crew,SMILE of snake,living,Gifters,Sim,Não tem recompensa,Sem recompensa
217,Alpagaman,0,The Hundred Beasts crew,SMILE from alpaca,living,Gifters,Sim,Não tem recompensa,Sem recompensa
218,Tatouman,0,The Hundred Beasts crew,Armadillo SMILE,living,Gifters,Sim,Não tem recompensa,Sem recompensa
219,Dachoman,0,The Hundred Beasts crew,Ostrich SMILE,living,Gifters,Sim,Não tem recompensa,Sem recompensa
220,Tenjo-Sagari,0,The Hundred Beasts crew,SMILE of the white snake,living,Gifters,Sim,Não tem recompensa,Sem recompensa
221,Caimanlady,0,The Hundred Beasts crew,Caiman SMILE,living,Gifters,Sim,Não tem recompensa,Sem recompensa
222,Nuré-Onna,0,The Hundred Beasts crew,SMILE of the scorpion,living,Gifters,Sim,Não tem recompensa,Sem recompensa
223,Wa-Nyudo,0,The Hundred Beasts crew,Pug SMILE,living,Gifters,Sim,Não tem recompensa,Sem recompensa
224,Inbi,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
225,Fuga,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
226,Zanki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
227,Jaki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
228,Goki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
229,Rokki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
230,Nangi,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
231,Hacha,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
232,Kunyun,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
233,Juki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,Não tem recompensa,Sem recompensa
234,Fukurokuju,0,The Hundred Beasts crew,Não tem,living,,Sim,Não tem recompensa,Sem recompensa
235,Daikoku,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
236,Hanzo,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
237,Sarutobi,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
238,Kazekage,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
239,Jigoku Benten,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
240,Fujin,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
241,Raijin,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
242,Bishamon,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,Não tem recompensa,Sem recompensa
