id,name,bounty,crew,fruit,status,job,emperor,fruit_image
33,Alvida,5000000,Baggy's Delivery,Sube Sube no Mi,living,,Não,https://images.api-onepiece.com/fruits/8eb2a1bcdebacd9077ce4881a2493e2d.png
34,Galdino,24000000,Baggy's Delivery,Doru Doru no Mi,living,,Não,https://images.api-onepiece.com/fruits/79c5de9660c570daf6e43b8c14df7ef6.png
35,Morge,0,Baggy's Delivery,Não tem,living,,Não,
36,Cabaji,0,Baggy's Delivery,Não tem,living,,Não,
37,Kuro,16000000,The Black Cat crew,Não tem,living,Captain,Não,
38,Sham,7000000,The Black Cat crew,Não tem,living,Officer,Não,
39,Buchi,7000000,The Black Cat crew,Não tem,living,Officer,Não,
40,Krieg / Don Krieg,17000000,Don Krieg's Pirate Armada,Não tem,living,Captain,Não,
41,Gyn,12000000,Don Krieg's Pirate Armada,Não tem,living,Vice-Admiral,Não,
42,Pearl,0,Don Krieg's Pirate Armada,Não tem,living,Captain (2nd Battalion),Não,
43,Montblanc Cricket,25000000,Primate League,Não tem,living,Commander-in-Chief,Não,
44,Masira,23000000,Primate League,Não tem,living,,Não,
45,Shojo,36000000,Primate League,Não tem,living,,Não,
46,Foxy,24000000,The Foxy crew,Noro Noro no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/
47,Porché,0,The Foxy crew,Não tem,living,Fighter,Não,
48,Hamburg,0,The Foxy crew,Não tem,living,Fighter,Não,
49,Gecko Moria,320000000,Thriller Bark,Kage Kage no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/de5dadf8502878ee5354b1c952b74f8b.png
50,Hogback,0,Thriller Bark,Não tem,living,Mysterious Four,Não,
51,Absalom,0,Thriller Bark,Suke Suke no Mi,Morto,Mysterious Four,Não,https://images.api-onepiece.com/fruits/
52,Perona,0,Thriller Bark,Horo Horo no Mi,living,Mysterious Four,Não,https://images.api-onepiece.com/fruits/
53,Laura,24000000,The crew of the Rolling,Não tem,living,Captain,Não,
54,Trafalgar D. Water Law,500000000,The Hearth crew,Ope Ope no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/9e630a35c5acb817bfea06e65d72b661.png
55,Bepo,500,The Hearth crew,Não tem,living,Browser,Não,
56,Jean Bart,0,The Hearth crew,Não tem,living,,Não,
57,Shachi,0,The Hearth crew,Não tem,living,,Não,
58,Pingouin,0,The Hearth crew,Não tem,living,,Não,
59,Eustass Kidd,470000000,The Kid crew,Jiki Jiki no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/79014303ec2ac76ecdefdb8b19928fb9.png
60,Killer,200000000,The Kid crew,Não tem,living,Fighter,Não,
61,Heat,0,The Kid crew,Não tem,living,Fighter,Não,
62,Wire,0,The Kid crew,Não tem,living,Captain,Não,
63,Capone Bege,350000000,The Fire Tank crew,Shiro Shiro no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/0dfd5dd587490832579f7ea6e3384e92.png
64,Vito,95000000,The Fire Tank crew,Não tem,living,Advisor,Não,
65,Gotti,90000000,The Fire Tank crew,Não tem,living,Assassin,Não,
66,Charlotte Chiffon,0,The Fire Tank crew,Não tem,living,,Não,
67,Charlotte Pets,0,The Fire Tank crew,Não tem,living,,Não,
68,Jewelry Bonney,140000000,The Fire Tank crew,Não tem,living,Captain,Não,
69,Urouge,108000000,The crew of Les Moines Dépravés,Não tem,living,Captain,Não,
70,Boa Hancock,80000000,The Kuja Pirates crew,Mero Mero no Mi,living,Captain,Não,https://images.api-onepiece.com/fruits/
71,Boa Sandersonia,40000000,The Kuja Pirates crew,Hebi Hebi no Mi moderu: Anakonda,living,,Não,https://images.api-onepiece.com/fruits/
72,Boa Marigold,40000000,The Kuja Pirates crew,Hebi Hebi no Mi moderu: Kingu Kobura,living,,Não,https://images.api-onepiece.com/fruits/
73,Margaret,0,The Kuja Pirates crew,Não tem,living,,Não,
74,Shiki,0,The crew of the Lion d'Or,Fuwa Fuwa no Mi,living,Admiral,Não,https://images.api-onepiece.com/fruits/
75,Indigo,0,The crew of the Lion d'Or,Não tem,living,,Não,
76,Caribou,210000000,The Caribou crew,Numa Numa no Mi,living,Co-Captain,Não,https://images.api-onepiece.com/fruits/
77,Coribou,190000000,The Caribou crew,Não tem,living,Co-Captain,Não,
78,Ficher Tiger,230000000,The Sun Pirates crew,Não tem,Morto,Captain,Não,
79,Aladdin,0,The Sun Pirates crew,Não tem,living,Vice-Captain,Não,
80,Charlotte Praliné,0,The Sun Pirates crew,Não tem,living,,Não,
81,Dracule Mihawk,0,Sem tripulação,Não tem,living,,Não,
82,Crocodile,81000000,Sem tripulação,Não tem,living,,Não,
83,Das Bones,75000000,Sem tripulação,Não tem,living,,Não,
84,Edward Weeble,480000000,Sem tripulação,Não tem,living,,Não,
85,Shanks,4048900000,Le Roux crew,Não tem,living,Captain,Sim,
86,Ben Beckmann,0,Le Roux crew,Não tem,living,Vice-Captain,Sim,
87,Lucky Roo,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
88,Yassop,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
89,Limejuice,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
90,Bonk Punch,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
91,Monster,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
92,Building Snake,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
93,Hongo,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
94,Howling Dab,0,Le Roux crew,Não tem,living,Lieutenant,Sim,
95,Rockstar,94000000,Le Roux crew,Não tem,living,,Sim,
96,Charlotte Linlin / Big Mom,4388000000,Big Mom's crew,Soru Soru no Mi,living,Captain,Sim,https://images.api-onepiece.com/fruits/
97,Charlotte Dent-de-chien,1057000000,Big Mom's crew,Mochi Mochi no Mi,living,General Sucré,Sim,https://images.api-onepiece.com/fruits/
98,Charlotte Smoothie,932000000,Big Mom's crew,Uma Uma no Mi,living,General Sucré,Sim,https://images.api-onepiece.com/fruits/
99,Charlotte Cracker,860000000,Big Mom's crew,Bisu Bisu no Mi,living,General Sucré,Sim,https://images.api-onepiece.com/fruits/
100,Charlotte Slurp,700000000,Big Mom's crew,Pero Pero no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
101,Charlotte Daifuku,300000000,Big Mom's crew,Hoya Hoya no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
102,Charlotte Oven,300000000,Big Mom's crew,Netsu Netsu no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
103,Charlotte Amande,0,Big Mom's crew,Não tem,living,Lieutenant,Sim,
104,Charlotte Opéra,0,Big Mom's crew,Kuri Kuri no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
105,Charlotte Brûlée,0,Big Mom's crew,Mira Mira no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
106,Charlotte Mont d’Or,120000000,Big Mom's crew,Buku Buku no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
107,Charlotte Galette,0,Big Mom's crew,Bata Bata no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
108,Charlotte Snack,600000000,Big Mom's crew,Não tem,living,Lieutenant,Sim,
109,Charlotte Pudding,0,Big Mom's crew,Memo Memo no Mi,living,Lieutenant,Sim,https://images.api-onepiece.com/fruits/
110,Charlotte Flampée,0,Big Mom's crew,Não tem,living,Lieutenant,Sim,
111,Charlotte Compote,0,Big Mom's crew,Não tem,living,Officer,Sim,
112,Charlotte Mondé,0,Big Mom's crew,Não tem,living,Officer,Sim,
113,Charlotte Hachée,0,Big Mom's crew,Não tem,living,Officer,Sim,
114,Charlotte Effilée,0,Big Mom's crew,Não tem,living,Officer,Sim,
115,Charlotte Counter,0,Big Mom's crew,Não tem,living,Officer,Sim,
116,Charlotte Cadenza,0,Big Mom's crew,Não tem,living,Officer,Sim,
117,Charlotte Cabaletta,0,Big Mom's crew,Não tem,living,Officer,Sim,
118,Charlotte Gala,0,Big Mom's crew,Não tem,living,Officer,Sim,
119,Charlotte Angel,0,Big Mom's crew,Não tem,living,Officer,Sim,
120,Charlotte Crème,0,Big Mom's crew,Não tem,living,Officer,Sim,
121,Charlotte Zuccoto,0,Big Mom's crew,Não tem,living,Officer,Sim,
122,Charlotte Broyée,0,Big Mom's crew,Não tem,living,Officer,Sim,
123,Charlotte Nusstorte,0,Big Mom's crew,Não tem,living,Officer,Sim,
124,Charlotte Basskarte,0,Big Mom's crew,Não tem,living,Officer,Sim,
125,Charlotte Dosmarché,0,Big Mom's crew,Não tem,living,Officer,Sim,
126,Charlotte Noisette,0,Big Mom's crew,Não tem,living,Officer,Sim,
127,Charlotte Moscato,0,Big Mom's crew,Não tem,living,Officer,Sim,
128,Charlotte Mash,0,Big Mom's crew,Não tem,living,Officer,Sim,
129,Charlotte Corn Starch,0,Big Mom's crew,Não tem,living,Officer,Sim,
130,Charlotte Compo,0,Big Mom's crew,Não tem,living,Officer,Sim,
131,Charlotte Laurin,0,Big Mom's crew,Não tem,living,Officer,Sim,
132,Charlotte Mozart,0,Big Mom's crew,Não tem,living,Officer,Sim,
133,Charlotte Marnier,0,Big Mom's crew,Não tem,living,Officer,Sim,
134,Charlotte High-Fat,0,Big Mom's crew,Não tem,living,Officer,Sim,
135,Charlotte Tablet,0,Big Mom's crew,Não tem,living,Officer,Sim,
136,Charlotte Citron,0,Big Mom's crew,Não tem,living,Officer,Sim,
137,Charlotte Cannelle,0,Big Mom's crew,Não tem,living,Officer,Sim,
138,Charlotte Saint-Marc,0,Big Mom's crew,Não tem,living,Officer,Sim,
139,Charlotte Basans,0,Big Mom's crew,Não tem,living,Officer,Sim,
140,Charlotte Mélisée,0,Big Mom's crew,Não tem,living,Officer,Sim,
141,Charlotte Dacquoise,0,Big Mom's crew,Não tem,living,Officer,Sim,
142,Charlotte Poire,0,Big Mom's crew,Não tem,living,Officer,Sim,
143,Charlotte Bavarois,0,Big Mom's crew,Não tem,living,Officer,Sim,
144,Charlotte Prim,0,Big Mom's crew,Não tem,living,Officer,Sim,
145,Charlotte Kanten,0,Big Mom's crew,Não tem,living,Officer,Sim,
146,Charlotte Kato,0,Big Mom's crew,Não tem,living,Officer,Sim,
147,Charlotte Montb,0,Big Mom's crew,Não tem,living,Officer,Sim,
148,Charlotte Chiboust,0,Big Mom's crew,Não tem,living,Officer,Sim,
149,Charlotte Mobile,0,Big Mom's crew,Não tem,living,Officer,Sim,
150,Charlotte Marble,0,Big Mom's crew,Não tem,living,Officer,Sim,
151,Charlotte Mucre,0,Big Mom's crew,Não tem,living,Officer,Sim,
152,Charlotte Mapple,0,Big Mom's crew,Não tem,living,Officer,Sim,
153,Charlotte Brownie,0,Big Mom's crew,Não tem,living,Officer,Sim,
154,Charlotte Joconde,0,Big Mom's crew,Não tem,living,Officer,Sim,
155,Charlotte Raisin,0,Big Mom's crew,Não tem,living,Officer,Sim,
156,Charlotte Panna,0,Big Mom's crew,Não tem,living,Officer,Sim,
157,Charlotte Mascarpone,0,Big Mom's crew,Não tem,living,Officer,Sim,
158,Charlotte Joscarpone,0,Big Mom's crew,Não tem,living,Officer,Sim,
159,Charlotte Yu Yuan,0,Big Mom's crew,Não tem,living,Officer,Sim,
160,Charlotte Newichi,0,Big Mom's crew,Não tem,living,Officer,Sim,
161,Charlotte Newji,0,Big Mom's crew,Não tem,living,Officer,Sim,
162,Charlotte Newsan,0,Big Mom's crew,Não tem,living,Officer,Sim,
163,Charlotte Newshi,0,Big Mom's crew,Gocha Gocha no Mi,living,Officer,Sim,https://images.api-onepiece.com/fruits/
164,Charlotte Newgo,0,Big Mom's crew,Não tem,living,Officer,Sim,
165,Charlotte Muscade,0,Big Mom's crew,Não tem,living,Officer,Sim,
166,Charlotte Muscadia,0,Big Mom's crew,Não tem,living,Officer,Sim,
167,Charlotte Muscadelle,0,Big Mom's crew,Não tem,living,Officer,Sim,
168,Charlotte Muscadine,0,Big Mom's crew,Não tem,living,Officer,Sim,
169,Charlotte Muscadette,0,Big Mom's crew,Não tem,living,Officer,Sim,
170,Charlotte Nougat,0,Big Mom's crew,Não tem,living,Officer,Sim,
171,Charlotte Anglais,0,Big Mom's crew,Não tem,living,Officer,Sim,
172,Charlotte Wafers,0,Big Mom's crew,Não tem,living,Officer,Sim,
173,Charlotte Wiro,0,Big Mom's crew,Não tem,living,Officer,Sim,
174,Charlotte De-Chat,0,Big Mom's crew,Não tem,living,Officer,Sim,
175,Charlotte Normande,0,Big Mom's crew,Não tem,living,Officer,Sim,
176,Charlotte Dolce,0,Big Mom's crew,Não tem,living,Officer,Sim,
177,Charlotte Dragée,0,Big Mom's crew,Não tem,living,Officer,Sim,
178,Charlotte Anana,0,Big Mom's crew,Não tem,living,Officer,Sim,
179,Pekoms,330000000,Big Mom's crew,Kame Kame no Mi,living,Fighter,Sim,https://images.api-onepiece.com/fruits/
180,Delœuf,429000000,Big Mom's crew,Tama Tama no Mi,living,Fighter,Sim,https://images.api-onepiece.com/fruits/
181,Boddin,155000000,Big Mom's crew,Não tem,living,Fighter,Sim,
182,Streusen,0,Big Mom's crew,Kuku Kuku no Mi,living,Cook,Sim,https://images.api-onepiece.com/fruits/
183,Prométhée,0,Big Mom's crew,Não tem,living,Homie,Sim,
184,Napoléon,0,Big Mom's crew,Não tem,living,Homie,Sim,
185,Héra,0,Big Mom's crew,Não tem,living,Homie,Sim,
186,Kingbaum,0,Big Mom's crew,Não tem,Morto,Homie,Sim,
187,Kaido,4611100000,The Hundred Beasts crew,"Uo Uo no Mi, Moderu Seiryū",living,Captain,Sim,https://images.api-onepiece.com/fruits/f640990d0f10e51a1bc097ffe6ab511c.jpg
188,King,1390000000,The Hundred Beasts crew,Ryū Ryū no Mi Kodai-shu Moderu Puteranodon,living,Superstar,Sim,https://images.api-onepiece.com/fruits/
189,Queen,1320000000,The Hundred Beasts crew,Ryū Ryū no Mi Moderu Burakiosaurusu,living,Superstar,Sim,https://images.api-onepiece.com/fruits/
190,Jack,1000000000,The Hundred Beasts crew,"Zō Zō no Mi, moderu Manmosu",living,Superstar,Sim,https://images.api-onepiece.com/fruits/
191,Page One,290000000,The Hundred Beasts crew,Ryū Ryū no Mi Moderu Supinosaurusu,living,Tobi Roppo,Sim,https://images.api-onepiece.com/fruits/
192,Ulti,400000000,The Hundred Beasts crew,Ryū Ryū no Mi Moderu Pakikefarosaurusu,living,Tobi Roppo,Sim,https://images.api-onepiece.com/fruits/
193,Who’s Who,546000000,The Hundred Beasts crew,"Tori Tori no Mi, Moderu Fenikkusu",living,Tobi Roppo,Sim,https://images.api-onepiece.com/fruits/
194,Black Maria,480000000,The Hundred Beasts crew,Kumo Kumo no Mi Moderu Rosamigare Guraubogerī,living,Tobi Roppo,Sim,https://images.api-onepiece.com/fruits/
195,Sasaki,472000000,The Hundred Beasts crew,Ryū Ryū no Mi Moderu Torikeratopusu,living,Tobi Roppo,Sim,https://images.api-onepiece.com/fruits/
196,Sheep’s Head,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
197,Basil Hawkins,320000000,The Hundred Beasts crew,Wara Wara no Mi,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
198,Holdem,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
199,Speed,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
200,Trouduc,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
201,Pouilleux,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
202,Solitaire,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
203,Bao Huang,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
204,Ginrummy,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,
205,Plouf,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
206,Briscola,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
207,Fourtricks,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
208,Hamlet,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
209,Mizerka,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
210,Poker,0,The Hundred Beasts crew,Não tem,living,Vedette,Sim,https://images.api-onepiece.com/fruits/
211,Batman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
212,Gazelleman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
213,Mouseman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
214,Snakeman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
215,Rabitman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
216,Sarehebi,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
217,Alpagaman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
218,Tatouman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
219,Dachoman,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
220,Tenjo-Sagari,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
221,Caimanlady,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
222,Nuré-Onna,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
223,Wa-Nyudo,0,The Hundred Beasts crew,Não tem,living,Gifters,Sim,https://images.api-onepiece.com/fruits/
224,Inbi,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
225,Fuga,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
226,Zanki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
227,Jaki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
228,Goki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
229,Rokki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
230,Nangi,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
231,Hacha,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
232,Kunyun,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
233,Juki,0,The Hundred Beasts crew,Não tem,living,Numbers,Sim,
234,Fukurokuju,0,The Hundred Beasts crew,Não tem,living,,Sim,
235,Daikoku,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
236,Hanzo,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
237,Sarutobi,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
238,Kazekage,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
239,Jigoku Benten,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
240,Fujin,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
241,Raijin,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
242,Bishamon,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
243,Tohomé,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
244,Yazaémon,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
245,Hotei,0,The Hundred Beasts crew,Não tem,living,Samurai,Sim,
246,Scratchmen Apoo,0,The Hundred Beasts crew,Oto Oto no Mi,living,Informer,Sim,https://images.api-onepiece.com/fruits/
247,Marchall D. Teach / Barbe Noire,2247600000,Blackbeard's crew,Yami Yami no Mi,living,Pirate,Sim,https://images.api-onepiece.com/fruits/d108706dfcaa5bcf3cddd184ddbb52a5.png
248,Jesus Burgess,20000000,Blackbeard's crew,Riki Riki no Mi,living,Admiral ship's captain,Sim,https://images.api-onepiece.com/fruits/
249,Shiliew,0,Blackbeard's crew,Suke Suke no Mi,living,Commander 2nd Ship,Sim,https://images.api-onepiece.com/fruits/
250,Van Auger,64000000,Blackbeard's crew,Wapu Wapu no mi,living,Commander 3rd Ship,Sim,https://images.api-onepiece.com/fruits/
251,Avalo Pizarro,0,Blackbeard's crew,Shima Shima no Mi,living,Commander 4th Ship,Sim,https://images.api-onepiece.com/fruits/
252,Lafitte,42200000,Blackbeard's crew,Não tem,living,Commander 5th Ship,Sim,
253,Catarina Devon,0,Blackbeard's crew,"Inu Inu no Mi, Moderu Kyūbi no Kitsune",living,Commander 6th Ship,Sim,https://images.api-onepiece.com/fruits/
254,Sanjuan Wolf,0,Blackbeard's crew,Deka Deka no Mi,living,Commander 7th Ship,Sim,https://images.api-onepiece.com/fruits/
255,Vasco Shot,0,Blackbeard's crew,Gabu Gabu no Mi,living,Commander 8th Ship,Sim,https://images.api-onepiece.com/fruits/
256,Doc Q,72000000,Blackbeard's crew,Shiku Shiku no Mi,living,Commander 9th Ship,Sim,https://images.api-onepiece.com/fruits/
257,Barbe Rose,52000000,Blackbeard's crew,Não tem,living,,Sim,
258,Gol D. Roger,5564800000,The Pirates Roger crew,Não tem,Morto,Captain,Sim,
259,Silvers Rayleigh,0,The Pirates Roger crew,Não tem,living,Right-hand man,Sim,
260,Scopper Gaban,0,The Pirates Roger crew,Não tem,living,Carpenter,Sim,
261,Seagull Guns Nozdon,0,The Pirates Roger crew,Não tem,living,,Sim,
262,Taro,0,The Pirates Roger crew,Não tem,living,,Sim,
263,Dringo,0,The Pirates Roger crew,Não tem,living,,Sim,
264,Sanjuan Wolf,0,The Pirates Roger crew,Não tem,living,,Sim,
265,Millet Pine,0,The Pirates Roger crew,Não tem,living,,Sim,
266,Ganryu,0,The Pirates Roger crew,Não tem,living,,Sim,
267,CB Galant,0,The Pirates Roger crew,Não tem,living,,Sim,
268,Donquino,0,The Pirates Roger crew,Não tem,living,,Sim,
269,Mr Momora,0,The Pirates Roger crew,Não tem,living,,Sim,
270,Moon Isaac Jr.,0,The Pirates Roger crew,Não tem,living,,Sim,
271,Yui,0,The Pirates Roger crew,Não tem,living,,Sim,
272,Rangram,0,The Pirates Roger crew,Não tem,living,,Sim,
273,Colonel Mugren,0,The Pirates Roger crew,Não tem,living,,Sim,
274,Max Marks,0,The Pirates Roger crew,Não tem,living,,Sim,
275,Spencer,0,The Pirates Roger crew,Não tem,living,,Sim,
276,Bankro,0,The Pirates Roger crew,Não tem,living,,Sim,
277,Blumarine,0,The Pirates Roger crew,Não tem,living,,Sim,
278,Elio,0,The Pirates Roger crew,Não tem,living,,Sim,
279,Rowing,0,The Pirates Roger crew,Não tem,living,,Sim,
280,Jacsonbaner,0,The Pirates Roger crew,Não tem,living,,Sim,
281,Yamon,0,The Pirates Roger crew,Não tem,living,,Sim,
282,Arlong,20000000,The Arlong crew,Não tem,living,Captain,Não,
283,Kuroobi,9000000,The Arlong crew,Não tem,living,Lieutenant,Não,
284,Smack,5500000,The Arlong crew,Não tem,living,Lieutenant,Não,
285,Yorki,0,The Rumbar crew,Não tem,Morto,Captain,Não,
286,Madaisky Mizuta,0,The Rumbar crew,Não tem,Morto,,Não,
287,Mawaritovsky Mizuta,0,The Rumbar crew,Não tem,Morto,,Não,
288,Sarquiss,38000000,Equipage de Bellamy,Não tem,Morto,,Não,
289,Edward Newgate / Barbe Blanche,5046000000,Whitebeard's crew,Gura Gura no Mi,Morto,Captain,Sim,https://images.api-onepiece.com/fruits/
290,Portgas D. Ace,550000000,Whitebeard's crew,Mera Mera no Mi,Morto,Commander 2nd Ship,Sim,https://images.api-onepiece.com/fruits/a3a4f5f2d3b965e3836613b5d3036348.jpg
291,Diamond Joz,0,Whitebeard's crew,Kira Kira no Mi,living,Commander 3rd Ship,Sim,https://images.api-onepiece.com/fruits/
292,Thatch,0,Whitebeard's crew,Não tem,Morto,Commander 4th Ship,Sim,
293,Vista,0,Whitebeard's crew,Não tem,living,Commander 5th Ship,Sim,
